case,D_x,D_y,D_z,S_x,S_y,S_z,voxel_volume,max_mri_intensity,min_mri_intensity,mean_mri_intensity,std_mri_intensity,seg_total_voxels,prostate_volume,total_image_volume
27,512.0,512.0,23.0,0.390625,0.390625,3.3,0.50354004,1797.0,0.0,280.32437,269.9333,76684.0,38613.465,3036000.0
28,512.0,512.0,23.0,0.390625,0.390625,3.3,0.50354004,2414.0,0.0,262.3836,273.21365,95916.0,48297.547,3036000.0
29,512.0,512.0,23.0,0.390625,0.390625,3.3,0.50354004,1866.0,0.0,272.08438,256.91754,136329.0,68647.11,3036000.0
30,512.0,512.0,23.0,0.390625,0.390625,3.3,0.50354004,2146.0,0.0,287.41476,278.07593,94156.0,47411.316,3036000.0
31,512.0,512.0,23.0,0.390625,0.390625,3.3,0.50354004,1719.0,0.0,266.4789,241.8302,105793.0,53271.01,3036000.0
32,512.0,512.0,23.0,0.390625,0.390625,3.3,0.50354004,2105.0,0.0,253.96329,255.11983,57592.0,28999.879,3036000.0
33,512.0,512.0,23.0,0.351563,0.351563,3.0,0.37078962,1325.0,0.0,312.5568,209.06831,98268.0,36436.754,2235606.2
34,384.0,384.0,28.0,0.46875,0.46875,3.33,0.73168945,416.0,0.0,84.25275,67.74746,42348.0,30985.586,3020976.0
35,256.0,256.0,23.0,0.703125,0.703125,3.3,1.6314697,693.0,0.0,210.58641,132.21309,19442.0,31719.035,2459160.0
36,512.0,512.0,26.0,0.351563,0.351563,3.3,0.4078686,1176.0,0.0,210.76733,161.09569,72311.0,29493.385,2779928.0
37,320.0,320.0,28.0,0.625,0.625,3.6,1.40625,1280.0,0.0,188.4593,159.30403,35105.0,49366.406,4032000.0
38,320.0,320.0,24.0,0.625,0.625,3.6,1.4062506,4095.0,0.0,227.7443,226.0968,57583.0,80976.13,3456001.5
39,320.0,320.0,24.0,0.625,0.625,3.6,1.4062508,4095.0,0.0,192.49481,216.93382,36917.0,51914.562,3456002.0
40,320.0,320.0,24.0,0.625,0.625,3.6,1.4062513,4095.0,0.0,179.26207,205.74242,25372.0,35679.406,3456003.2
41,320.0,320.0,24.0,0.625,0.625,3.6,1.4062494,4095.0,0.0,232.46458,236.44514,16682.0,23459.053,3455998.5
42,320.0,320.0,24.0,0.625,0.625,3.6,1.4062506,4095.0,0.0,214.76932,213.68906,80225.0,112816.46,3456001.5
43,320.0,320.0,24.0,0.625,0.625,3.6,1.4062506,4095.0,0.0,225.55704,235.04044,36026.0,50661.586,3456001.5
44,320.0,320.0,24.0,0.625,0.625,3.6,1.4062513,4095.0,0.0,224.2863,247.35251,26164.0,36793.16,3456003.2
45,320.0,320.0,24.0,0.625,0.625,3.6,1.4062504,4095.0,0.0,195.37437,198.94258,17067.0,24000.475,3456001.0
46,320.0,320.0,24.0,0.625,0.625,3.6,1.4062501,4095.0,0.0,266.2382,222.19249,28766.0,40452.19,3456000.2
47,320.0,320.0,24.0,0.625,0.625,3.6,1.4062494,4050.0,0.0,204.20184,211.31104,24234.0,34079.047,3455998.5
48,320.0,320.0,24.0,0.625,0.625,3.6,1.4062504,3554.0,0.0,181.27069,177.44289,33805.0,47538.293,3456001.0
49,320.0,320.0,24.0,0.625,0.625,3.6,1.4062498,4095.0,0.0,229.06203,215.87334,28097.0,39511.4,3455999.5
